note,opponent,text
1,UW-Stevens Point Pointers,"Team stats: both sides are built the same way, from play-by-play box scores rather than a scouting report, so they compare like with like. Their figures cover only the games before this matchup."
2,UW-Stevens Point Pointers,"The brief shows the 6 highest-priority of 19 keys; every key is on the app. Each key is scored 0-100: who says so (staff-written keys score highest), how big the edge is, how much data backs it, and whether it is an instruction. Keys scoring 55+ are shown, best first, up to 6, one per topic. Keys are built by the parser into uww_ktv_keys.csv and rendered identically by the app. Each key's evidence (the numbers behind it) and full reasoning are on the app's Keys to Victory tab -- click a key to open it there. HOW ""FEATURE THE ... COMBO"" IS CHOSEN: every 3-player group from our lineup stints, counting competitive minutes only -- a stint that starts in the 2nd half or OT with the margin at 15+ is garbage time and set aside. A trio needs 40+ competitive minutes across 3+ games. It is ranked by scoring margin per 40 minutes, shrunk toward zero as if 40 more minutes of an even game were added, so a short hot streak can't top the list. It must also be on/off positive: we do better with those three on the floor than with them off, which separates the trio from whoever else was out there. If no trio clears all of that, there is no combo key -- a missing key means none qualified yet, not that it wasn't checked. When the top trio has numbers identical to other trios (they only ever played together as one group), no single trio can be singled out, so the key names the whole group as a ""unit"" instead. Season-wide, not specific to this opponent. REBOUNDING KEYS: ""box out"" when they rebound 35%+ of their own misses, ""crash the glass"" when they secure 65% or less of opponents' misses, each on 20+ paired misses from their play-by-play."
3,UW-Stevens Point Pointers,"Previous meetings with this opponent, from our own schedules. Scoped to this matchup: if we've already played them this season, only this season's meeting(s) are shown, since an earlier season's numbers are the less relevant read once there's a current one; otherwise it's the most recent seasons on file. Capped at the 3 most recent meetings either way. Each meeting's play-by-play is pulled from its own box score and cached, so the numbers below are that game's real box score. \""How this team is different now\"" compares who played in that meeting against this year's roster and box scores -- points shown in brackets are what that player scored against US in the meeting, not a season average."
4,UW-Stevens Point Pointers,"UW-STEVENS POINT starters: started 2+ of the last 3 game(s). Per-game averages from their own film. Photo, jersey, position, height and class come from the FastScout roster page when a live scrape has run; hand and status aren't on that page and stay blank. Coach notes pass through as written; data-driven lines are stated against the team's own averages with attempt floors."
5,UW-Stevens Point Pointers,"Their best three five-man units and best three 3-man combos, ranked by scoring margin per 40 minutes, shrunk toward zero as if 40 minutes of an even game were added, so a short hot stretch can't top the list. A five-man unit needs 8+ minutes and a combo 12+; * marks a unit shown below that floor because fewer than three cleared it. Includes all minutes: their lineup data has no score at the start of each stint, so garbage time can't be set aside. A combo's minutes are every stint with all three on the floor, whoever the other two were. GP isn't shown for their combos: games played can't be counted exactly from their lineup data. The key shown is the first data-driven key for that unit. ""What they run"" is the sets tagged on possessions with that exact five on the floor, and ""Group"" is its position shape (3G-2B = three guards and two bigs, from roster positions). Every lineup's full strengths, weaknesses and keys are in the app."
6,UW-Stevens Point Pointers,"Every row here is the defense the opponent's offense FACED on a tagged possession, so it reads as how they did against that look -- not what they run on defense themselves. Man, Zone and Press are families, not specific coverages: at this sample size a named coverage is a handful of clips. PPP is points per tagged possession. Treat these as things to CONFIRM on film, not as settled reads -- the clip count on each row is how much weight it carries."
7,UW-Stevens Point Pointers,"Same tagged possessions as the sections above, sorted by how often they run a set against how well it scores. The usage line is the median (4 uses) and the efficiency line is their own average (1.02 PPP), so this is relative to them, not to the league. Sets with fewer than 2 tagged possessions are left out. ""Haven't seen it enough"" is the cell to read twice: those are efficient looks with a thin sample, which is what beats a defense that only prepared for the obvious."
8,UW-Stevens Point Pointers,UW-WHITEWATER starters: started 2+ of the last 3 game(s). Per-game averages from their own film. Flags come from our own season film (highest-confidence first in the app). Play-call lines need 3+ tagged uses of a set.
9,UW-Stevens Point Pointers,"Our best three five-man units and best three 3-man combos this season, from the play-by-play's lineup stints, ranked by scoring margin per 40 minutes shrunk toward zero as if 40 minutes of an even game were added. Competitive minutes only: MIN and +/- leave out stints that start in the 2nd half or later with the margin already lopsided. A five-man unit needs 8+ minutes; a combo meets the same bar as the ""Feature the ... combo"" key (40+ minutes, 3+ games, better with them on than off), so that combo is the top row. * marks a unit shown below the bar because fewer than three cleared it. PPP is offense only, from tagged possessions, and does not affect the order."
10,UW-Stevens Point Pointers,"Same tagged possessions as HOW WE RUN OFFENSE above, sorted by how often we call a set against how well it scores. The usage line is the median (7 uses) and the efficiency line is our own average (1.12 PPP), so this is relative to us, not to the league. Sets with fewer than 3 tagged possessions are left out -- not enough reps to judge. Read it as a call sheet, not a verdict: a low-efficiency set may still be there to set up something else."
